mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
144,19,83552670,,350,1,,348,1,,1,645343252,3529416865,thru,,,,WBT,"LINESTRING (-111.8855745 40.7302393, -111.8868221 40.7302425, -111.888141 40.7302554)"
145,20,83552672,,351,1,,353,1,,1,645343252,83552677,thru,,,,EBT,"LINESTRING (-111.8855745 40.7302393, -111.8854784 40.730239, -111.8842573 40.7301518)"
146,20,83552672,,351,1,,565,1,,1,645343252,83659772,left,,,,EBL,"LINESTRING (-111.8855745 40.7302393, -111.8854784 40.730239, -111.88546 40.730678)"
147,20,83552672,,354,1,,352,1,,1,83552677,645343252,thru,,,,WBT,"LINESTRING (-111.8842573 40.7301518, -111.8854784 40.730239, -111.8855745 40.7302393)"
148,20,83552672,,354,1,,565,1,,1,83552677,83659772,right,,,,WBR,"LINESTRING (-111.8842573 40.7301518, -111.8854784 40.730239, -111.88546 40.730678)"
149,20,83552672,,564,1,,352,1,,1,83659772,645343252,right,,,,SBR,"LINESTRING (-111.88546 40.730678, -111.8854784 40.730239, -111.8855745 40.7302393)"
150,20,83552672,,564,1,,353,1,,1,83659772,83552677,left,,,,SBL,"LINESTRING (-111.88546 40.730678, -111.8854784 40.730239, -111.8842573 40.7301518)"
151,22,83552707,,21,1,,75,1,,1,,83552677,right,,,,WBR,"LINESTRING (-111.883 40.7295254, -111.8842626 40.7295135, -111.8842573 40.7301518)"
152,22,83552707,,21,1,,76,1,,1,,83617919,left,,,,WBL,"LINESTRING (-111.883 40.7295254, -111.8842626 40.7295135, -111.8842734 40.7287493)"
153,22,83552707,,74,1,,20,1,,1,83552677,,left,,,,SBL,"LINESTRING (-111.8842573 40.7301518, -111.8842626 40.7295135, -111.883 40.7295254)"
